epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.753,1.4285,1.4094,1.02101,0.82312,0.73647,0.79597,0.5418,1.29549,1.1278,1.00301,0.00332998,0.00332998,0.00332998
2,781.553,1.41889,0.97966,1.00393,0.77243,0.70019,0.72783,0.47896,1.38857,1.3807,1.04114,0.00659735,0.00659735,0.00659735
3,1158.85,1.48686,1.05174,1.03483,0.80325,0.6954,0.76624,0.46372,1.51896,1.40298,1.09821,0.00979872,0.00979872,0.00979872
4,1528.73,1.50427,1.06392,1.05207,0.78569,0.68683,0.76052,0.48502,1.4525,1.26857,1.07626,0.009703,0.009703,0.009703
5,1909.8,1.42008,0.95718,1.02196,0.86737,0.72985,0.80243,0.52272,1.42018,1.29418,1.0661,0.009604,0.009604,0.009604
6,2281.2,1.35894,0.88359,1.00686,0.83544,0.73925,0.81266,0.5361,1.39253,1.22552,1.05801,0.009505,0.009505,0.009505
7,2656.3,1.31147,0.83224,0.98927,0.85473,0.72137,0.80751,0.53905,1.39892,1.308,1.05473,0.009406,0.009406,0.009406
8,3038.14,1.28015,0.80166,0.9828,0.86922,0.73199,0.81216,0.54205,1.36912,1.31919,1.03262,0.009307,0.009307,0.009307
9,3413.04,1.25582,0.77129,0.97669,0.822,0.74348,0.79819,0.54621,1.37371,1.28696,1.03844,0.009208,0.009208,0.009208
10,3790.5,1.22718,0.74436,0.96497,0.88334,0.73619,0.82815,0.5707,1.35833,1.2271,1.03255,0.009109,0.009109,0.009109
11,4168.63,1.20508,0.72195,0.9611,0.88819,0.73757,0.82502,0.57861,1.29676,1.23161,1.01778,0.00901,0.00901,0.00901
12,4537.07,1.17982,0.70526,0.95156,0.8605,0.7425,0.81501,0.573,1.3289,1.35456,1.03014,0.008911,0.008911,0.008911
13,4913.31,1.15843,0.68394,0.94994,0.88153,0.74418,0.82821,0.57779,1.30591,1.29532,1.01663,0.008812,0.008812,0.008812
14,5284.24,1.14284,0.67018,0.94497,0.87193,0.76029,0.83611,0.58992,1.31112,1.27567,1.00966,0.008713,0.008713,0.008713
15,5657.09,1.1384,0.66439,0.94323,0.88598,0.73002,0.81909,0.56942,1.34898,1.29983,1.04061,0.008614,0.008614,0.008614
16,6036.48,1.11941,0.65036,0.93689,0.86783,0.73368,0.81456,0.57139,1.30195,1.33129,1.01626,0.008515,0.008515,0.008515
17,6407.45,1.11179,0.64466,0.93522,0.89105,0.74542,0.82132,0.58785,1.28091,1.32912,1.01622,0.008416,0.008416,0.008416
18,6783.09,1.09623,0.63225,0.93245,0.86279,0.74475,0.82281,0.58551,1.29411,1.31126,1.01589,0.008317,0.008317,0.008317
19,7162.69,1.08669,0.62593,0.9295,0.85266,0.74495,0.82391,0.5859,1.29586,1.38561,1.01701,0.008218,0.008218,0.008218
20,7542.1,1.08104,0.61784,0.92641,0.85373,0.72222,0.81397,0.58627,1.27912,1.39492,1.00754,0.008119,0.008119,0.008119
21,7924.53,1.07063,0.61561,0.92488,0.8837,0.7465,0.82803,0.59653,1.30633,1.36077,1.01631,0.00802,0.00802,0.00802
22,8311.93,1.05965,0.60622,0.92187,0.87778,0.73476,0.81681,0.58523,1.28874,1.41787,1.01659,0.007921,0.007921,0.007921
23,8698.49,1.05228,0.60125,0.92065,0.89194,0.76266,0.8348,0.59856,1.27416,1.28357,1.00883,0.007822,0.007822,0.007822
24,9089.79,1.04634,0.59492,0.91696,0.8905,0.75197,0.83824,0.60712,1.26219,1.23638,0.99992,0.007723,0.007723,0.007723
25,9472.1,1.03982,0.58905,0.91437,0.88843,0.75129,0.83278,0.60355,1.26314,1.2969,1.00074,0.007624,0.007624,0.007624
26,9854.78,1.0279,0.5822,0.91297,0.8843,0.7364,0.83922,0.60674,1.26844,1.31059,0.9938,0.007525,0.007525,0.007525
27,10242.8,1.02643,0.57738,0.9118,0.86538,0.75046,0.83239,0.60143,1.27317,1.37638,1.00321,0.007426,0.007426,0.007426
28,10621.9,1.02115,0.57251,0.91119,0.83908,0.75254,0.81981,0.59999,1.2681,1.34982,0.99656,0.007327,0.007327,0.007327
29,10996.7,1.01339,0.56784,0.90957,0.875,0.73978,0.83198,0.6035,1.26061,1.33268,0.99724,0.007228,0.007228,0.007228
30,11382,1.00652,0.56401,0.90719,0.87477,0.7503,0.83552,0.60045,1.25836,1.32039,0.99919,0.007129,0.007129,0.007129
31,11775.1,1.00071,0.5595,0.90666,0.85206,0.75251,0.82954,0.60407,1.25749,1.30635,1.00178,0.00703,0.00703,0.00703
32,12152.4,0.99486,0.552,0.90468,0.8735,0.72415,0.8271,0.60329,1.27083,1.29758,1.00286,0.006931,0.006931,0.006931
33,12530.3,0.9892,0.55332,0.90145,0.86244,0.75967,0.83675,0.61095,1.27098,1.28602,0.99834,0.006832,0.006832,0.006832
34,12915,0.98385,0.54834,0.90019,0.86278,0.74768,0.83167,0.61009,1.25317,1.33708,0.99214,0.006733,0.006733,0.006733
35,13295,0.97905,0.54515,0.90069,0.87323,0.73301,0.83128,0.60643,1.25659,1.34605,0.99612,0.006634,0.006634,0.006634
36,13665.8,0.97619,0.54258,0.89931,0.84283,0.73543,0.82659,0.60595,1.2734,1.39957,0.9986,0.006535,0.006535,0.006535
37,14036.6,0.9704,0.53999,0.89913,0.88116,0.68655,0.80991,0.59293,1.2639,1.41567,0.9973,0.006436,0.006436,0.006436
38,14411.4,0.97482,0.54088,0.90121,0.87384,0.71618,0.82601,0.60185,1.25332,1.39164,0.99471,0.006337,0.006337,0.006337
